BlockID,BasinID,CentreX,CentreY,CoordX,CoordY,estgw0,gw0mSL,estgwm,gwmmSL
31,1,9150,150,2704974.148,1244829.438,526.7969867,234.2507334,528.3708372,235.1808869
32,1,9450,150,2705274.148,1244829.438,526.696518,260.7107561,528.3410778,261.5422556
33,1,9750,150,2705574.148,1244829.438,526.5989709,308.0036555,528.3117653,308.8345762
34,1,10050,150,2705874.148,1244829.438,526.504654,313.2970925,528.2830456,313.5462227
36,1,10650,150,2706474.148,1244829.438,526.3263724,323.113025,528.2277678,323.4496515
37,1,10950,150,2706774.148,1244829.438,526.2425301,323.5465667,528.201327,323.798673
67,1,8850,450,2704674.148,1245129.438,526.9911138,194.3844086,528.44009,196.3376878
68,1,9150,450,2704974.148,1245129.438,526.8771088,216.5846224,528.406163,218.093837
69,1,9450,450,2705274.148,1245129.438,526.7668189,249.1567085,528.3728882,250.4604452
70,1,9750,450,2705574.148,1245129.438,526.6605881,284.3878189,528.3404279,284.6873499
71,1,10050,450,2705874.148,1245129.438,526.5586083,298.6841615,528.3088922,298.9341633
72,1,10350,450,2706174.148,1245129.438,526.460957,307.7450573,528.278351,308.2692681
73,1,10650,450,2706474.148,1245129.438,526.3676271,301.7790527,528.2488438,302.1678229
74,1,10950,450,2706774.148,1245129.438,526.2785504,319.5563403,528.2203874,319.9375074
103,1,8550,750,2704374.148,1245429.438,527.2090138,203.1437335,528.5177874,207.0779573
104,1,8850,750,2704674.148,1245429.438,527.0787178,182.4926647,528.4787823,189.1226163
105,1,9150,750,2704974.148,1245429.438,526.9531928,186.619602,528.4407217,190.0592783
106,1,9450,750,2705274.148,1245429.438,526.8328169,225.1271249,528.4037828,225.4226061
107,1,9750,750,2705574.148,1245429.438,526.7177732,255.6311958,528.3680766,255.9027568
108,1,10050,750,2705874.148,1245429.438,526.6081024,267.0693996,528.3336651,267.8468905
109,1,10350,750,2706174.148,1245429.438,526.5037437,282.3420373,528.3005746,282.991092
110,1,10650,750,2706474.148,1245429.438,526.4045656,292.8940438,528.2688057,293.5159165
111,1,10950,750,2706774.148,1245429.438,526.3103892,330.3654704,528.2383403,330.8505486
140,1,8550,1050,2704374.148,1245729.438,527.3049524,196.0710609,528.5603015,196.636127
141,1,8850,1050,2704674.148,1245729.438,527.1610521,1.165100727,528.5163944,174.9488834
142,1,9150,1050,2704974.148,1245729.438,527.023751,178.1622164,528.47404,178.4912378
143,1,9450,1050,2705274.148,1245729.438,526.8932014,223.6135269,528.4333405,223.9416595
144,1,9750,1050,2705574.148,1245729.438,526.7693784,242.6414392,528.3943385,244.2723281
145,1,10050,1050,2705874.148,1245729.438,526.6521351,241.1059285,528.3570355,242.2610201
146,1,10350,1050,2706174.148,1245729.438,526.5412451,260.0440835,528.3214044,261.2410956
147,1,10650,1050,2706474.148,1245729.438,526.4364318,284.3551872,528.2873993,285.0806562
148,1,10950,1050,2706774.148,1245729.438,526.3373906,307.2930139,528.2549624,307.7837973
177,1,8550,1350,2704374.148,1246029.438,527.393927,160.0059282,528.6012883,160.568523
178,1,8850,1350,2704674.148,1246029.438,527.2362082,154.8953361,528.5523148,155.3643519
179,1,9150,1350,2704974.148,1246029.438,527.0871254,176.8802625,528.5055825,177.2444175
180,1,9450,1350,2705274.148,1246029.438,526.9465403,221.5772795,528.4610946,221.9416832
181,1,9750,1350,2705574.148,1246029.438,526.8141711,211.6824265,528.4188081,215.4839696
182,1,10050,1350,2705874.148,1246029.438,526.6896484,216.581381,528.3786512,220.3921822
183,1,10350,1350,2706174.148,1246029.438,526.5725541,259.484939,528.3405344,261.1039101
184,1,10650,1350,2706474.148,1246029.438,526.4624486,285.0167235,528.3043591,285.9248076
185,1,10950,1350,2706774.148,1246029.438,526.358889,303.3277397,528.2700226,303.7442631
212,1,7950,1650,2703774.148,1246329.438,527.849795,126.4110032,528.7573291,127.2426709
213,1,8250,1650,2704074.148,1246329.438,527.6560153,126.65805,528.6971068,127.340629
214,1,8550,1650,2704374.148,1246329.438,527.4734575,135.7094889,528.6399463,136.2137122
215,1,8850,1650,2704674.148,1246329.438,527.3020669,141.3940788,528.5858548,141.4974786
216,1,9150,1650,2704974.148,1246329.438,527.1415148,163.0279346,528.5347594,163.4027406
217,1,9450,1650,2705274.148,1246329.438,526.9913074,1.164809792,528.4865409,176.5204036
218,1,9750,1650,2705574.148,1246329.438,526.8508609,1.164809792,528.4410543,182.6422791
219,1,10050,1650,2705874.148,1246329.438,526.7195518,1.164809792,528.3981432,220.7893568
220,1,10350,1650,2706174.148,1246329.438,526.5967494,261.2588407,528.3576486,262.4826292
221,1,10650,1650,2706474.148,1246329.438,526.4818372,296.4390379,528.3194136,297.2291975
222,1,10950,1650,2706774.148,1246329.438,526.3742252,332.4303328,528.2832875,333.0145848
233,1,3150,1950,2698974.148,1246629.438,528.2380777,39.7512772,528.5231716,40.92780879
234,1,3450,1950,2699274.148,1246629.438,528.9033644,38.53217528,528.7946002,40.10335902
235,1,3750,1950,2699574.148,1246629.438,529.449393,33.83638703,529.0334497,35.70518664
236,1,4050,1950,2699874.148,1246629.438,529.8596646,15.28319482,529.2292257,15.53164383
249,1,7950,1950,2703774.148,1246629.438,527.9522632,120.6525427,528.8059579,121.5763951
250,1,8250,1950,2704074.148,1246629.438,527.7392308,121.3895307,528.7385394,122.1434051
251,1,8550,1950,2704374.148,1246629.438,527.5408067,132.1510841,528.6753785,132.7412882
252,1,8850,1950,2704674.148,1246629.438,527.356345,131.2603254,528.6162621,131.5712379
253,1,9150,1950,2704974.148,1246629.438,527.1850194,139.5049344,528.5609401,139.9668377
254,1,9450,1950,2705274.148,1246629.438,527.0259239,150.6115996,528.5091498,150.9283502
255,1,9750,1950,2705574.148,1246629.438,526.8781357,197.609853,528.4606314,197.9490909
256,1,10050,1950,2705874.148,1246629.438,526.7407542,242.4348942,528.4151357,242.7529315
257,1,10350,1950,2706174.148,1246629.438,526.6129225,268.8720745,528.3724286,273.6116984
258,1,10650,1950,2706474.148,1246629.438,526.4938398,321.1577525,528.3322924,321.9131622
259,1,10950,1950,2706774.148,1246629.438,526.3827658,376.195858,528.2945265,376.8418371
269,1,2850,2250,2698674.148,1246929.438,527.7486195,42.31963396,528.2885465,43.23923124
270,1,3150,2250,2698974.148,1246929.438,528.661043,37.88061237,528.6410153,39.35199173
271,1,3450,2250,2699274.148,1246929.438,529.4525305,32.71540354,528.9690052,34.64905034
272,1,3750,2250,2699574.148,1246929.438,530.0865525,20.15752435,529.2581007,22.40856599
273,1,4050,2250,2699874.148,1246929.438,530.5496968,9.86949052,529.4942594,10.56923267
274,1,4350,2250,2700174.148,1246929.438,530.8355721,9.549054149,529.6622364,10.32665248
275,1,4650,2250,2700474.148,1246929.438,530.9445623,9.46313793,529.7516826,10.24831736
285,1,7650,2250,2703474.148,1246929.438,528.2883776,110.5871821,528.9304494,111.7362173
286,1,7950,2250,2703774.148,1246929.438,528.0376553,110.3687158,528.8499981,111.394188
287,1,8250,2250,2704074.148,1246929.438,527.8062735,113.2743197,528.7755442,114.1064002
288,1,8550,2250,2704374.148,1246929.438,527.5930608,123.8196941,528.7066178,124.4669933
289,1,8850,2250,2704674.148,1246929.438,527.3966691,126.7946416,528.6427451,127.718366
290,1,9150,2250,2704974.148,1246929.438,527.2157064,127.2826668,528.5834736,127.6387486
291,1,9450,2250,2705274.148,1246929.438,527.0488143,145.5936915,528.5283841,146.0452594
292,1,9750,2250,2705574.148,1246929.438,526.8947092,180.3870279,528.4770939,180.7014776
293,1,10050,2250,2705874.148,1246929.438,526.752203,222.9539592,528.4292574,223.2374093
294,1,10350,2250,2706174.148,1246929.438,526.6202099,288.439135,528.3845637,288.7582934
295,1,10650,2250,2706474.148,1246929.438,526.4977463,296.0522824,528.3427341,297.4072659
306,1,2850,2550,2698674.148,1247229.438,528.0184394,46.6355012,528.3386377,47.78636233
307,1,3150,2550,2698974.148,1247229.438,529.1366294,40.17591442,528.7683854,42.00198497
308,1,3450,2550,2699274.148,1247229.438,530.078791,20.93537894,529.1692215,23.26133402
309,1,3750,2550,2699574.148,1247229.438,530.8093471,13.71858764,529.5256512,14.62018209
310,1,4050,2550,2699874.148,1247229.438,531.3356758,8.79785294,529.8224071,9.830370724
311,1,4350,2550,2700174.148,1247229.438,531.6473777,8.781812659,530.0294779,9.914966554
312,1,4650,2550,2700474.148,1247229.438,531.7276219,9.997988395,530.1189502,11.25406566
313,1,4950,2550,2700774.148,1247229.438,531.5993852,13.11258391,530.0970002,14.04906723
314,1,5250,2550,2701074.148,1247229.438,531.3205882,13.18559991,529.9988257,14.15411551
315,1,5550,2550,2701374.148,1247229.438,530.9533305,13.54942863,529.8620902,14.06098668
322,1,7650,2550,2703474.148,1247229.438,528.3730021,106.1055245,528.9765258,107.695116
323,1,7950,2550,2703774.148,1247229.438,528.1012684,104.9092316,528.887872,106.1399058
324,1,8250,2550,2704074.148,1247229.438,527.8534084,107.2068764,528.8068719,108.0264615
325,1,8550,2550,2704374.148,1247229.438,527.6272539,108.3112831,528.7326695,110.4270527
326,1,8850,2550,2704674.148,1247229.438,527.420681,118.5717539,528.6645059,119.5854941
327,1,9150,2550,2704974.148,1247229.438,527.2316967,133.9340917,528.6017161,134.634395
328,1,9450,2550,2705274.148,1247229.438,527.0584768,151.3224723,528.5437203,151.6820862
343,1,2850,2850,2698674.148,1247529.438,528.2683689,46.32584017,528.3687864,47.70017915
344,1,3150,2850,2698974.148,1247529.438,529.6612476,29.31971606,528.8996896,31.51697706
345,1,3450,2850,2699274.148,1247529.438,530.7727427,12.63100908,529.3925322,13.62135666
346,1,3750,2850,2699574.148,1247529.438,531.5890205,12.66910392,529.836477,14.03157853
347,1,4050,2850,2699874.148,1247529.438,532.2039313,8.820254073,530.2360221,10.3195335
348,1,4350,2850,2700174.148,1247529.438,532.5759356,8.365025607,530.5217258,9.908829748
349,1,4650,2850,2700474.148,1247529.438,532.616112,8.744732827,530.6037422,10.31986889
350,1,4950,2850,2700774.148,1247529.438,532.3673417,11.01395692,530.5047064,12.48834915
351,1,5250,2850,2701074.148,1247529.438,531.9421939,12.7969808,530.3129072,13.81209276
352,1,5550,2850,2701374.148,1247529.438,531.4373708,15.85112964,530.0958718,16.81321915
353,1,5850,2850,2701674.148,1247529.438,530.9146244,28.6105049,529.886057,30.59965732
354,1,6150,2850,2701974.148,1247529.438,530.4081021,39.2641792,529.6949097,41.4241379
355,1,6450,2850,2702274.148,1247529.438,529.9343686,1.164809792,529.5245398,60.97546021
356,1,6750,2850,2702574.148,1247529.438,529.4998126,1.164809792,529.3735899,62.67725752
357,1,7050,2850,2702874.148,1247529.438,529.105324,76.41390198,529.2397152,80.42695145
358,1,7350,2850,2703174.148,1247529.438,528.7490357,102.9232773,529.1205224,105.8794776
359,1,7650,2850,2703474.148,1247529.438,528.4278601,96.6757568,529.0138767,99.29445663
360,1,7950,2850,2703774.148,1247529.438,528.138315,101.2824989,528.9179661,102.6584228
361,1,8250,2850,2704074.148,1247529.438,527.8769479,1.164809792,528.8312804,102.8353863
362,1,8550,2850,2704374.148,1247529.438,527.6405367,103.7321971,528.7525668,107.6779888
363,1,8850,2850,2704674.148,1247529.438,527.4261708,121.3898612,528.6807842,122.4719935
364,1,9150,2850,2704974.148,1247529.438,527.2312686,169.3593158,528.6150634,170.0724366
365,1,9450,2850,2705274.148,1247529.438,527.0535646,173.0727992,528.5546738,173.5264073
379,1,2550,3150,2698374.148,1247829.438,526.5358159,38.00372357,527.6988153,38.3011847
380,1,2850,3150,2698674.148,1247829.438,528.4310436,30.26339467,528.3536206,31.78171771
381,1,3150,3150,2698974.148,1247829.438,530.2106186,12.69859027,529.0225185,13.49831488
382,1,3450,3150,2699274.148,1247829.438,531.4970612,7.734771325,529.63099,9.007898852
383,1,3750,3150,2699574.148,1247829.438,532.3199534,9.527545785,530.1637738,11.3292818
384,1,4050,3150,2699874.148,1247829.438,533.1160143,6.291364497,530.7712436,7.93708973
385,1,4350,3150,2700174.148,1247829.438,533.6567347,6.756846308,531.2590222,8.484033375
386,1,4650,3150,2700474.148,1247829.438,533.6150019,8.888545204,531.2860527,10.79728068
387,1,4950,3150,2700774.148,1247829.438,533.1652013,13.26796841,531.0023806,15.08095274
388,1,5250,3150,2701074.148,1247829.438,532.5385534,17.27803093,530.6482607,18.8517393
389,1,5550,3150,2701374.148,1247829.438,531.8683757,22.22364091,530.3207408,25.02648142
390,1,5850,3150,2701674.148,1247829.438,531.2197698,1.176783148,530.0402435,44.31392318
391,1,6150,3150,2701974.148,1247829.438,530.6206248,1.166321005,529.8037606,46.43235051
392,1,6450,3150,2702274.148,1247829.438,530.0797526,1.17051505,529.6035544,62.8756123
393,1,6750,3150,2702574.148,1247829.438,529.5968139,1.166608261,529.4323207,80.01906822
394,1,7050,3150,2702874.148,1247829.438,529.1675017,1.164809792,529.2842053,77.34079468
395,1,7350,3150,2703174.148,1247829.438,528.7861309,1.164809792,529.1547199,92.37255281
396,1,7650,3150,2703474.148,1247829.438,528.4468706,92.88928315,529.0404465,97.03594244
397,1,7950,3150,2703774.148,1247829.438,528.1442837,117.096539,528.9387623,118.894571
398,1,8250,3150,2704074.148,1247829.438,527.8735266,118.3658196,528.8476291,119.2634821
399,1,8550,3150,2704374.148,1247829.438,527.6303838,110.7329565,528.765439,113.0748388
400,1,8850,3150,2704674.148,1247829.438,527.4112321,116.4677754,528.6909058,117.461872
401,1,9150,3150,2704974.148,1247829.438,527.2129752,156.7694979,528.6229867,157.3266536
402,1,9450,3150,2705274.148,1247829.438,527.0329734,189.9972134,528.5608255,190.4391745
415,1,2250,3450,2698074.148,1248129.438,523.9887558,38.10322409,526.7375917,36.82240826
416,1,2550,3450,2698374.148,1248129.438,525.9533006,26.12545435,527.4431186,26.07116712
417,1,2850,3450,2698674.148,1248129.438,528.3266907,8.582777394,528.2364459,8.166331898
418,1,3150,3450,2698974.148,1248129.438,530.6560169,5.454849385,529.0942769,6.266834223
419,1,3450,3450,2699274.148,1248129.438,532.1527733,6.021313613,529.8981263,7.699095956
420,1,3750,3450,2699574.148,1248129.438,532.719355,5.309195489,530.391889,6.94144433
421,1,4050,3450,2699874.148,1248129.438,534.0642287,6.12298616,531.5131314,7.952146396
422,1,4350,3450,2700174.148,1248129.438,534.971964,6.786212651,532.6369503,8.488049733
423,1,4650,3450,2700474.148,1248129.438,534.6577243,10.19996531,532.2714655,12.2702012
424,1,4950,3450,2700774.148,1248129.438,533.8902777,15.27784407,531.5471587,17.24450795
425,1,5250,3450,2701074.148,1248129.438,533.0221348,20.98062892,530.9510904,24.49335402
426,1,5550,3450,2701374.148,1248129.438,532.1811293,1.168749876,530.4991513,33.2369598
427,1,5850,3450,2701674.148,1248129.438,531.4154819,1.164809792,530.1521527,45.36868065
428,1,6150,3450,2701974.148,1248129.438,530.7372921,57.79577027,529.8778012,61.16386542
429,1,6450,3450,2702274.148,1248129.438,530.143323,94.04748165,529.654584,97.75513826
430,1,6750,3450,2702574.148,1248129.438,529.6247863,116.2470907,529.4685303,120.0036919
431,1,7050,3450,2702874.148,1248129.438,529.1716572,1.164809792,529.310394,110.7451616
432,1,7350,3450,2703174.148,1248129.438,528.7744294,1.164838804,529.1738611,107.1039167
433,1,7650,3450,2703474.148,1248129.438,528.424721,123.9771761,529.0544754,127.0774691
434,1,7950,3450,2703774.148,1248129.438,528.1153838,136.3852424,528.9489921,137.9398968
435,1,8250,3450,2704074.148,1248129.438,527.8404179,143.6325458,528.854982,144.7769624
436,1,8550,3450,2704374.148,1248129.438,527.59482,129.8122644,528.7705819,131.0141403
437,1,8850,3450,2704674.148,1248129.438,527.3744251,114.6935899,528.694332,115.4515014
438,1,9150,3450,2704974.148,1248129.438,527.1757616,126.4736091,528.625068,126.9304876
439,1,9450,3450,2705274.148,1248129.438,526.9959276,137.4495166,528.5618468,137.6635053
451,1,1950,3750,2697774.148,1248429.438,521.2958952,52.28139263,525.5013083,49.59869171
452,1,2250,3750,2698074.148,1248429.438,522.7157958,36.04734589,526.2023685,34.03150246
453,1,2550,3750,2698374.148,1248429.438,524.8327364,9.682593019,527.004731,7.134157939
454,1,2850,3750,2698674.148,1248429.438,527.5971671,4.147020162,527.9108791,2.978009831
455,1,3150,3750,2698974.148,1248429.438,530.5045254,5.478704241,528.9464922,6.289618906
456,1,3450,3750,2699274.148,1248429.438,532.374417,1.199902907,529.9926434,4.41707879
457,1,3750,3750,2699574.148,1248429.438,532.7145629,3.832704324,530.3421847,5.331426368
458,1,4050,3750,2699874.148,1248429.438,535.0858427,1.200428593,532.3899729,6.81836048
459,1,4350,3750,2700174.148,1248429.438,536.222525,1.199918283,535.4994129,6.847809315
460,1,4650,3750,2700474.148,1248429.438,535.3928235,1.199902907,533.2471744,13.3431034
461,1,4950,3750,2700774.148,1248429.438,534.3310538,1.199902907,531.9220081,18.66826969
462,1,5250,3750,2701074.148,1248429.438,533.2632695,1.164809792,531.1155568,24.34972102
463,1,5550,3750,2701374.148,1248429.438,532.2951281,1.164809792,530.5810228,32.00231056
464,1,5850,3750,2701674.148,1248429.438,531.4514538,1.164809792,530.1971365,56.39314124
465,1,6150,3750,2701974.148,1248429.438,530.7263623,1.16548131,529.9041389,81.19308329
466,1,6450,3750,2702274.148,1248429.438,530.1048014,1.164809792,529.6704282,117.6281829
467,1,6750,3750,2702574.148,1248429.438,529.5705989,1.164809792,529.4779374,138.8762293
468,1,7050,3750,2702874.148,1248429.438,529.1091749,134.944242,529.3155878,138.6774677
469,1,7350,3750,2703174.148,1248429.438,528.7082099,1.173202719,529.1761674,135.0668881
470,1,7650,3750,2703474.148,1248429.438,528.3575725,162.3117141,529.0547404,166.077204
471,1,7950,3750,2703774.148,1248429.438,528.0490186,180.9965281,528.9477859,182.5730475
472,1,8250,3750,2704074.148,1248429.438,527.7758557,183.5280695,528.8527043,184.5847957
473,1,8550,3750,2704374.148,1248429.438,527.532641,180.1540986,528.7675215,180.975534
474,1,8850,3750,2704674.148,1248429.438,527.3149297,136.3342466,528.6907024,136.9065198
475,1,9150,3750,2704974.148,1248429.438,527.1190727,117.6739147,528.6210295,117.9900816
476,1,9450,3750,2705274.148,1248429.438,526.9420562,125.5360382,528.5575211,125.6802412
477,1,9750,3750,2705574.148,1248429.438,526.781376,132.5041175,528.4993742,132.5006258
487,1,1650,4050,2697474.148,1248729.438,519.1699537,59.84808868,523.9989551,56.60818779
488,1,1950,4050,2697774.148,1248729.438,519.8130337,41.63970245,524.5935926,38.36964266
489,1,2250,4050,2698074.148,1248729.438,521.0773643,15.3215519,525.4464575,10.58826476
490,1,2550,4050,2698374.148,1248729.438,523.1348593,4.367887216,526.3366134,0.350886596
491,1,2850,4050,2698674.148,1248729.438,525.9686636,4.056151759,527.2440776,1.908700207
492,1,3150,4050,2698974.148,1248729.438,529.1131534,1.199902907,528.4207721,5.176450096
493,1,3450,4050,2699274.148,1248729.438,531.4795571,3.145050947,529.4652924,3.958318673
494,1,3750,4050,2699574.148,1248729.438,532.9154675,1.204766632,529.7147768,5.924112092
495,1,4050,4050,2699874.148,1248729.438,535.1748162,1.2003392,531.4713001,7.466199923
496,1,4350,4050,2700174.148,1248729.438,536.2422661,6.547956521,534.9824162,7.288417136
497,1,4650,4050,2700474.148,1248729.438,535.4076484,12.59130209,533.0931011,14.55967673
498,1,4950,4050,2700774.148,1248729.438,534.2582535,16.29691706,531.8161241,18.60748705
499,1,5250,4050,2701074.148,1248729.438,533.13399,30.13229162,531.0441485,33.82390707
500,1,5550,4050,2701374.148,1248729.438,532.1391146,57.13737824,530.5317659,61.19740072
501,1,5850,4050,2701674.148,1248729.438,531.2874381,88.89600536,530.1613069,93.08174865
502,1,6150,4050,2701974.148,1248729.438,530.564676,105.3051723,529.8764847,109.3665708
503,1,6450,4050,2702274.148,1248729.438,529.9506286,1.164809792,529.6478958,121.6993264
504,1,6750,4050,2702574.148,1248729.438,529.426206,141.3401042,529.4587471,145.3051418
505,1,7050,4050,2702874.148,1248729.438,528.9752435,152.9378175,529.2986857,156.8957588
506,1,7350,4050,2703174.148,1248729.438,528.5845946,168.8165043,529.1609151,175.7696405
507,1,7650,4050,2703474.148,1248729.438,528.2437222,1.164809792,529.0407407,195.2717593
508,1,7950,4050,2703774.148,1248729.438,527.9442074,219.2960267,528.9347838,221.030494
509,1,8250,4050,2704074.148,1248729.438,527.6793071,230.568632,528.8405304,231.4650252
510,1,8550,4050,2704374.148,1248729.438,527.4435925,225.0522959,528.7560584,225.8203305
511,1,8850,4050,2704674.148,1248729.438,527.2326646,195.6125792,528.6798654,196.1187457
512,1,9150,4050,2704974.148,1248729.438,527.0429334,138.930215,528.6107546,139.1045232
513,1,9450,4050,2705274.148,1248729.438,526.8714479,122.841485,528.547758,122.9015174
523,1,1350,4350,2697174.148,1249029.438,517.9055578,54.73419078,522.5502704,51.69110888
524,1,1650,4350,2697474.148,1249029.438,517.8958641,50.13973777,522.5789255,47.06855651
525,1,1950,4350,2697774.148,1249029.438,518.2676692,22.09188178,523.2040736,18.65009309
526,1,2250,4350,2698074.148,1249029.438,519.3214436,6.685231113,524.4171353,0.91619807
